"date","hour","activity","workout","keywords","time","i0","i1","i2","i3","i4","i5","distance(km)","climb(m)","intensity","t-intensity","ahr","mhr","controls","spiked","rhr","sleep","weight(kg)","injured","sick","restday","shoes","route","description","private note"
"2010-01-29","17","Running","","","00:17:15","","","","","00:11:17","00:05:58","6.0","","4.35","","150","171","","","","","","","","","Saucony Shay spikeless","","Banintervaller.
15 x 400 m. Omstart på 2.20

Länge sedan jag sprang i hallen. Valde därför att ta det lugnt i början. Tiderna låg runt 1.10. Ökade tempot efter en 7-8 st och tyckte det kändes bra. Fick känningar i baksidalår på den 13onde så jag valde att bara köra 15.",""
"2010-01-29","17","Running","warm up/down","","00:15:00","","","00:15:00","","","","3.0","","2.0","","","","","","","","","","","","Saucony Shay spikeless","","",""
"2010-01-30","11","Running","","","01:00:00","","00:00:31","00:08:39","00:39:28","00:11:22","","14.0","","3.03","","136","161","","","","","","","","","Saucony Fastwitch","","Jacs träning blev inställd pga av kyla, så jag och Sara drog till CH istället.
Körde 1h på bandet.
Fick bli.
15min - 5.00 min/km
15min - 4.30 min/km
15min - 4.00 min/km
10min - 3.30 min/km
5min nedjogg.",""
"2010-01-31","10","Note","","","","","","","","","","","","","","","","","","","","","","","","","","Nya garmin transfer funktionen är grym!",""
"2010-01-31","19","Running","","","00:42:01","","00:00:31","00:11:04","00:30:26","","","8.822","","2.71","","126","135","","","","","","","","","Puma Trailfox III","","Fick bli ett lättare löppass på kvällen också..",""
"2010-01-31","10","Skidor","race","","00:49:58","","","","","00:36:12","00:13:46","13.1","","4.28","","161","171","","","","","","","","","Atomic RC11","","Skid-Ol, Motala.

2/6 -6.01

Ptr hade sett att OK Motala arrangerade en träningstävling i skidorientering, så jag, Ptr och Sara drog dit. Ptr åkte och lånade kartställ på LOKgården.

Det var klassiska spår som gällde (vilket var bra) och gick på och runt en golfbana. Den långa banan var 8.5 km. Mestadels stakning men även en del diagonalåkning. 

Var riktigt skoj! Gjorde en del klantiga vägval och försök till geningar, men överlag ett bra lopp. Tappade dock kartan två gånger. 

Spöade Ptr med 6min iallafall, så...
Martinsson - Ptr: 2-0

<table style=""width:auto;""><tr><td><a href=""http://picasaweb.google.se/lh/photo/DNn1m59wY4fzlOHwrXGEEg?feat=embedwebsite""><img src=""http://lh3.ggpht.com/_aUvxP1dzPOo/S2Wd5Fs1ehI/AAAAAAAAA0o/MMpdEgROOT8/s400/100131%20-%20Skid-O%20Motala%20-%20rutt.jpg"" /></a></td></tr><tr><td style=""font-family:arial,sans-serif; font-size:11px; text-align:right"">Från <a href=""http://picasaweb.google.se/erima525/Kartor?feat=embedwebsite"">Kartor</a></td></tr></table>",""
"2010-01-31","10","Skidor","warm up/down","","00:32:20","","","00:32:20","","","","7.4","","2.0","","","","","","","","","","","","Atomic RC11","","Lite körning före och efter.",""
"2010-02-01","18","Styrka","","","00:50:00","","","","00:50:00","","","","","3.0","","","","","","","","","","","","","","LOK-gympa
5 varv.",""
"2010-02-02","18","Löpning terräng","","","01:08:53","","","00:18:38","00:22:46","00:20:26","00:07:03","11.305","","3.23","","137","168","","","","","","","","","Inov8 Mudclaw 270 II","","Martins bana.

Mycket, mycket snö.
Vi delade upp gruppen och körde uppvärmning åt varsitt håll på banan. 

Ptr fick ta täten och drog mig och Figge nästan halva varvet. Sen ville Figge springa fortare och passerade både mig och Ptr. Han drog iväg i en jädra fart och fick en lucka direkt. Jag låg bakom Ptr en stund men valde att gå om och tog upp jakten på Figge. Jag var dock rejält sliten i låren så jag lyckdes inte plocka in något på honom. Höll dock avståndet konstant under slutet av banan. 
Figge imponerade. Trots relativ liten träningsmängd sista tiden kunde han ändå springa ifrån oss. Inte så konstigt dock eftersom han är riktigt stark i ""tung"" terräng. Bara att träna mera..

Uppvärming: 30min
Martins bana: 24.53
Nedjogg ~13min",""
"2010-02-03","12","Running","","","00:20:00","","","","00:20:00","","","5.0","","3.0","","125","","","","","","","","","","Saucony Fastwitch","","Lunchträning på CH
Först 20min på bandet, 4min/km",""
